rule,order,xi,eta,weight
9,19,0.3333333333333330,0.3333333333333330,0.0971357962827990
9,19,0.0206349616025250,0.4896825191987380,0.0313347002271390
9,19,0.4896825191987380,0.4896825191987380,0.0313347002271390
9,19,0.4896825191987380,0.0206349616025250,0.0313347002271390
9,19,0.1258208170141270,0.4370895914929370,0.0778275410047740
9,19,0.4370895914929370,0.4370895914929370,0.0778275410047740
9,19,0.4370895914929370,0.1258208170141270,0.0778275410047740
9,19,0.6235929287619350,0.1882035356190330,0.0796477389272100
9,19,0.1882035356190330,0.1882035356190330,0.0796477389272100
9,19,0.1882035356190330,0.6235929287619350,0.0796477389272100
9,19,0.9105409732110950,0.0447295133944530,0.0255776756586980
9,19,0.0447295133944530,0.0447295133944530,0.0255776756586980
9,19,0.0447295133944530,0.9105409732110950,0.0255776756586980
9,19,0.0368384120547360,0.2219629891607660,0.0432835393772890
9,19,0.2219629891607660,0.7411985987844980,0.0432835393772890
9,19,0.7411985987844980,0.0368384120547360,0.0432835393772890
9,19,0.2219629891607660,0.0368384120547360,0.0432835393772890
9,19,0.7411985987844980,0.2219629891607660,0.0432835393772890
9,19,0.0368384120547360,0.7411985987844980,0.0432835393772890
10,25,0.3333333333333330,0.3333333333333330,0.0908179903827540
10,25,0.0288447332326850,0.4855776333836570,0.0367259577564670
10,25,0.4855776333836570,0.4855776333836570,0.0367259577564670
10,25,0.4855776333836570,0.0288447332326850,0.0367259577564670
10,25,0.7810368490299260,0.1094815754850370,0.0453210594355280
10,25,0.1094815754850370,0.1094815754850370,0.0453210594355280
10,25,0.1094815754850370,0.7810368490299260,0.0453210594355280
10,25,0.1417072194148800,0.3079398387641210,0.0727579168454200
10,25,0.3079398387641210,0.5503529418209990,0.0727579168454200
10,25,0.5503529418209990,0.1417072194148800,0.0727579168454200
10,25,0.3079398387641210,0.1417072194148800,0.0727579168454200
10,25,0.5503529418209990,0.3079398387641210,0.0727579168454200
10,25,0.1417072194148800,0.5503529418209990,0.0727579168454200
10,25,0.0250035347626860,0.2466725606399030,0.0283272425310570
10,25,0.2466725606399030,0.7283239045974110,0.0283272425310570
10,25,0.7283239045974110,0.0250035347626860,0.0283272425310570
10,25,0.2466725606399030,0.0250035347626860,0.0283272425310570
10,25,0.7283239045974110,0.2466725606399030,0.0283272425310570
10,25,0.0250035347626860,0.7283239045974110,0.0283272425310570
10,25,0.0095408154002990,0.0668032510122000,0.0094216669637330
10,25,0.0668032510122000,0.9236559335875000,0.0094216669637330
10,25,0.9236559335875000,0.0095408154002990,0.0094216669637330
10,25,0.0668032510122000,0.0095408154002990,0.0094216669637330
10,25,0.9236559335875000,0.0668032510122000,0.0094216669637330
10,25,0.0095408154002990,0.9236559335875000,0.0094216669637330
11,27,-0.0692220965415170,0.5346110482707580,0.0009270063289610
11,27,0.5346110482707580,0.5346110482707580,0.0009270063289610
11,27,0.5346110482707580,-0.0692220965415170,0.0009270063289610
11,27,0.2020613940682900,0.3989693029658550,0.0771495349148130
11,27,0.3989693029658550,0.3989693029658550,0.0771495349148130
11,27,0.3989693029658550,0.2020613940682900,0.0771495349148130
